시,빈도수,Top,대여소,대여소빈도수
0,95,1,502. 뚝섬유원지역 1번출구 앞,3148
1,62,1,207. 여의나루역 1번출구 앞,2993
2,26,1,152. 마포구민체육센터 앞,2543
3,13,1,2102. 봉림교 교통섬,2508
4,15,1,2715.마곡나루역 2번 출구 ,2178
5,13,1,,
6,41,1,,
7,63,1,,
8,125,1,,
9,79,1,,
10,82,1,,
11,99,1,,
12,145,1,,
13,138,1,,
14,170,1,,
15,206,1,,
16,243,1,,
17,225,1,,
18,283,1,,
19,251,1,,
20,223,1,,
21,218,1,,
22,178,1,,
23,155,1,,
0,93,2,207. 여의나루역 1번출구 앞,2993
1,39,2,,
2,25,2,,
3,19,2,,
4,3,2,,
5,7,2,,
6,17,2,,
7,98,2,,
8,136,2,,
9,76,2,,
10,77,2,,
11,109,2,,
12,135,2,,
13,155,2,,
14,160,2,,
15,175,2,,
16,217,2,,
17,287,2,,
18,258,2,,
19,235,2,,
20,208,2,,
21,188,2,,
22,153,2,,
23,123,2,,
0,84,3,152. 마포구민체육센터 앞,2543
1,54,3,,
2,26,3,,
3,12,3,,
4,13,3,,
5,12,3,,
6,14,3,,
7,66,3,,
8,81,3,,
9,80,3,,
10,75,3,,
11,92,3,,
12,137,3,,
13,110,3,,
14,153,3,,
15,145,3,,
16,178,3,,
17,208,3,,
18,208,3,,
19,215,3,,
20,185,3,,
21,165,3,,
22,130,3,,
23,100,3,,
